iter	Passed	Remaining
0	144	144507
1	146	72878
2	147	49027
3	148	37094
4	150	29917
5	151	25154
6	153	21763
7	154	19181
8	156	17197
9	157	15594
10	158	14289
11	160	13197
12	161	12268
13	163	11490
14	164	10804
15	165	10199
16	167	9680
17	170	9285
18	173	8945
19	174	8569
20	176	8247
21	179	7984
22	184	7847
23	187	7609
24	188	7355
25	190	7130
26	191	6908
27	193	6708
28	195	6543
29	197	6382
30	200	6274
31	202	6130
32	205	6023
33	208	5919
34	210	5803
35	213	5716
36	215	5596
37	216	5483
38	218	5385
39	219	5279
40	222	5196
41	224	5129
42	227	5053
43	229	4995
44	231	4920
45	233	4843
46	235	4768
47	237	4707
48	239	4650
49	241	4591
50	243	4523
51	245	4467
52	246	4410
53	250	4395
54	252	4342
55	254	4289
56	256	4240
57	258	4194
58	260	4159
59	262	4108
60	263	4063
61	266	4025
62	267	3982
63	269	3942
64	271	3904
65	273	3865
66	274	3825
67	275	3776
68	277	3738
69	279	3711
70	281	3677
71	282	3640
72	284	3608
73	285	3575
74	287	3546
75	289	3515
76	290	3486
77	292	3456
78	293	3426
79	295	3396
80	296	3368
81	298	3341
82	300	3314
83	301	3286
84	302	3254
85	303	3227
86	304	3197
87	306	3174
88	307	3149
89	309	3126
90	310	3101
91	311	3077
92	313	3053
93	314	3033
94	316	3013
95	318	2996
96	319	2976
97	321	2959
98	323	2942
99	324	2923
100	326	2904
101	327	2881
102	328	2861
103	329	2841
104	331	2822
105	332	2806
106	334	2790
107	335	2773
108	337	2757
109	338	2741
110	340	2724
111	341	2708
112	343	2695
113	344	2680
114	346	2665
115	347	2648
116	349	2637
117	350	2622
118	352	2607
119	353	2593
120	355	2580
121	356	2568
122	357	2549
123	359	2537
124	360	2525
125	362	2512
126	363	2499
127	364	2484
128	366	2472
129	367	2460
130	369	2448
131	370	2437
132	372	2425
133	373	2416
134	375	2404
135	376	2392
136	378	2386
137	380	2373
138	381	2363
139	383	2352
140	384	2342
141	385	2331
142	387	2321
143	389	2312
144	390	2301
145	391	2291
146	393	2282
147	394	2272
148	396	2263
149	397	2253
150	399	2244
151	400	2236
152	402	2228
153	404	2221
154	405	2212
155	407	2203
156	408	2195
157	410	2187
158	411	2178
159	413	2169
160	414	2161
161	416	2152
162	417	2143
163	418	2135
164	420	2126
165	421	2118
166	423	2111
167	424	2103
168	426	2096
169	427	2089
170	429	2082
171	431	2077
172	433	2070
173	434	2063
174	436	2057
175	438	2054
176	440	2050
177	442	2043
178	443	2036
179	445	2028
180	446	2018
181	447	2012
182	449	2006
183	450	1999
184	452	1992
185	453	1986
186	455	1980
187	457	1974
188	458	1967
189	460	1961
190	461	1955
191	463	1950
192	465	1944
193	466	1938
194	468	1933
195	469	1927
196	471	1921
197	472	1915
198	474	1909
199	475	1902
200	476	1896
201	478	1890
202	480	1884
203	481	1879
204	483	1874
205	484	1868
206	486	1862
207	488	1858
208	489	1854
209	491	1849
210	493	1844
211	494	1839
212	496	1834
213	498	1829
214	499	1824
215	501	1819
216	502	1814
217	504	1808
218	505	1803
219	507	1797
220	508	1791
221	509	1786
222	511	1781
223	512	1776
224	514	1771
225	515	1765
226	517	1761
227	519	1758
228	520	1753
229	522	1749
230	523	1744
231	525	1740
232	527	1736
233	528	1731
234	530	1726
235	531	1721
236	533	1717
237	535	1713
238	536	1708
239	538	1703
240	539	1699
241	541	1694
242	542	1690
243	544	1686
244	545	1682
245	547	1679
246	549	1676
247	551	1672
248	553	1668
249	554	1664
250	556	1660
251	557	1655
252	559	1651
253	560	1647
254	562	1643
255	563	1638
256	565	1635
257	567	1631
258	568	1627
259	570	1623
260	572	1619
261	573	1615
262	575	1611
263	576	1608
264	578	1604
265	580	1600
266	581	1597
267	583	1592
268	584	1589
269	586	1584
270	587	1581
271	589	1577
272	590	1573
273	592	1569
274	594	1566
275	595	1562
276	597	1558
277	598	1554
278	600	1550
279	601	1547
280	605	1548
281	607	1545
282	608	1541
283	610	1538
284	612	1535
285	613	1532
286	615	1529
287	617	1525
288	618	1521
289	620	1518
290	621	1515
291	623	1511
292	624	1507
293	626	1503
294	627	1499
295	628	1495
296	630	1492
297	631	1488
298	633	1485
299	635	1481
300	636	1478
301	638	1475
302	639	1472
303	641	1469
304	643	1466
305	645	1463
306	647	1460
307	648	1456
308	649	1453
309	651	1449
310	652	1446
311	654	1442
312	655	1439
313	657	1436
314	658	1432
315	660	1429
316	661	1425
317	663	1422
318	665	1419
319	666	1416
320	668	1413
321	669	1409
322	671	1406
323	672	1403
324	676	1404
325	678	1402
326	680	1399
327	682	1397
328	684	1395
329	686	1393
330	688	1391
331	690	1389
332	694	1390
333	695	1387
334	698	1386
335	700	1384
336	702	1381
337	704	1378
338	706	1376
339	707	1373
340	709	1370
341	710	1367
342	712	1364
343	713	1361
344	715	1358
345	717	1355
346	719	1353
347	720	1350
348	722	1347
349	723	1344
350	725	1341
351	728	1340
352	729	1337
353	730	1333
354	732	1330
355	734	1328
356	735	1325
357	737	1322
358	738	1319
359	740	1316
360	741	1313
361	743	1310
362	745	1307
363	746	1304
364	748	1301
365	749	1298
366	751	1296
367	753	1294
368	755	1291
369	756	1288
370	758	1285
371	760	1283
372	761	1280
373	763	1277
374	764	1274
375	766	1271
376	768	1269
377	769	1266
378	771	1263
379	772	1260
380	773	1257
381	775	1254
382	777	1251
383	778	1248
384	780	1246
385	781	1243
386	783	1240
387	785	1238
388	786	1235
389	788	1233
390	789	1229
391	791	1226
392	792	1224
393	795	1223
394	797	1221
395	799	1219
396	800	1216
397	802	1213
398	803	1210
399	805	1207
400	806	1205
401	808	1202
402	810	1201
403	812	1198
404	813	1195
405	815	1192
406	816	1190
407	818	1187
408	820	1185
409	821	1182
410	823	1180
411	825	1177
412	826	1175
413	828	1172
414	830	1170
415	831	1167
416	833	1164
417	834	1162
418	835	1159
419	837	1156
420	839	1153
421	840	1151
422	842	1149
423	843	1146
424	845	1143
425	846	1141
426	848	1138
427	850	1136
428	851	1133
429	853	1131
430	854	1128
431	856	1125
432	857	1123
433	859	1120
434	860	1117
435	862	1115
436	863	1112
437	864	1109
438	866	1107
439	868	1105
440	869	1102
441	871	1100
442	873	1098
443	874	1095
444	876	1093
445	878	1090
446	879	1088
447	880	1085
448	882	1082
449	884	1081
450	885	1078
451	887	1076
452	889	1073
453	890	1071
454	892	1068
455	893	1066
456	895	1063
457	896	1061
458	898	1058
459	899	1056
460	901	1054
461	903	1052
462	904	1049
463	906	1047
464	907	1044
465	909	1042
466	911	1039
467	912	1037
468	914	1035
469	915	1032
470	917	1030
471	918	1027
472	920	1025
473	921	1023
474	923	1020
475	924	1018
476	926	1016
477	928	1014
478	930	1011
479	931	1009
480	933	1006
481	935	1004
482	936	1002
483	938	1000
484	939	997
485	941	995
486	942	992
487	943	990
488	945	988
489	947	985
490	948	983
491	950	981
492	951	978
493	953	976
494	954	974
495	956	972
496	958	969
497	959	966
498	960	964
499	962	962
500	964	960
501	965	957
502	967	955
503	968	953
504	970	950
505	971	948
506	974	947
507	975	944
508	977	942
509	978	940
510	980	938
511	982	936
512	984	934
513	985	932
514	987	929
515	989	927
516	991	925
517	992	923
518	994	921
519	995	919
520	997	917
521	999	915
522	1001	913
523	1002	911
524	1004	908
525	1006	906
526	1007	904
527	1009	902
528	1010	899
529	1012	897
530	1015	896
531	1016	894
532	1018	892
533	1020	890
534	1021	888
535	1023	886
536	1025	883
537	1026	881
538	1028	879
539	1030	877
540	1031	875
541	1033	873
542	1034	870
543	1036	868
544	1038	866
545	1039	864
546	1041	862
547	1043	860
548	1044	858
549	1046	856
550	1048	854
551	1050	852
552	1052	850
553	1054	848
554	1055	846
555	1057	844
556	1058	842
557	1060	840
558	1063	838
559	1064	836
560	1066	834
561	1067	832
562	1069	830
563	1071	828
564	1073	826
565	1074	824
566	1076	822
567	1078	820
568	1080	818
569	1081	815
570	1082	813
571	1084	811
572	1086	809
573	1087	807
574	1089	805
575	1090	803
576	1092	801
577	1094	799
578	1096	797
579	1097	794
580	1099	792
581	1101	790
582	1102	788
583	1104	786
584	1106	784
585	1107	782
586	1109	780
587	1111	778
588	1113	776
589	1115	774
590	1116	772
591	1118	771
592	1120	769
